model,year,mileage,image,color,cost
2012 Audi A5,2012,"92,739 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/audi.png,Silver,"$31,990"
2019 Audi A4,2019,"6,963 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/331/596/2/9101b7f0.jpg?w=197&h=148&q=85&mode=1,Blue,"$31,990"
2019 Audi A3,2019,"2,728 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/111/5/7c7d9ca1.jpg?w=197&h=148&q=85&mode=1,Black,"$32,590"
2019 Audi A4,2019,"12,397 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/596/950/0/710f756a.jpg?w=197&h=148&q=85&mode=1,White,"$33,990"
2019 Audi A4,2019,"4,419 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/166/1/a5db811a.jpg?w=197&h=148&q=85&mode=1,White,"$34,990"
2019 Audi A4,2019,"17,878 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/474/698/2/ceeb7af1.jpg?w=197&h=148&q=85&mode=1,Silver,"$34,990"
2019 Audi A4,2019,"3,195 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/331/543/9/199790a4.jpg?w=197&h=148&q=85&mode=1,Black,"$34,990"
2019 Audi A4,2019,"5,208 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/384/470/1/6248b41c.jpg?w=197&h=148&q=85&mode=1,Blue,"$35,990"
2019 Audi A4,2019,"10,486 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/611/847/2/919762f9.jpg?w=197&h=148&q=85&mode=1,Black,"$35,990"
2019 Audi A4,2019,"4,520 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/635/643/4/20ca9ee9.jpg?w=197&h=148&q=85&mode=1,Black,"$37,590"
2019 Audi Q5,2019,"14,779 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/666/382/3/1989c1f0.jpg?w=197&h=148&q=85&mode=1,White,"$37,990"
2019 Audi A4,2019,"11,394 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/574/431/2/1bf17f5e.jpg?w=197&h=148&q=85&mode=1,Gray,"$38,590"
2019 Audi A4,2019,"2,436 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/501/138/4/e8132eeb.jpg?w=197&h=148&q=85&mode=1,White,"$38,990"
2019 Audi A4,2019,"11,043 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/243/4/35284f04.jpg?w=197&h=148&q=85&mode=1,Gray,"$38,990"
2019 Audi Q5,2019,"4,234 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/678/9/800f08fc.jpg?w=197&h=148&q=85&mode=1,Black,"$40,590"
2019 Audi Q5,2019,"9,408 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/725/063/8/17235a30.jpg?w=197&h=148&q=85&mode=1,Gray,"$41,990"
2019 Audi A4,2019,"9,732 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/671/9/83a51901.jpg?w=197&h=148&q=85&mode=1,White,"$42,590"
2019 Audi Q5,2019,"10,714 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/628/3/eaf68c10.jpg?w=197&h=148&q=85&mode=1,White,"$42,990"
2019 Audi Q5,2019,"8,220 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/724/961/3/8e4b47dd.jpg?w=197&h=148&q=85&mode=1,Blue,"$45,990"
2019 Audi Q5,2019,"6,393 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/712/877/5/8acc432c.jpg?w=197&h=148&q=85&mode=1,Gray,"$46,990"
2019 Audi Q7,2019,"34,395 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/653/855/6/a1fc086e.jpg?w=197&h=148&q=85&mode=1,White,"$47,590"
2019 Audi Q7,2019,"10,818 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/666/412/3/070d8c10.jpg?w=197&h=148&q=85&mode=1,Silver,"$51,990"
2019 Audi Q7,2019,"20,875 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/047/8/931ffa6f.jpg?w=197&h=148&q=85&mode=1,Silver,"$26,990"
2019 Audi SQ5,2019,"2,937 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/634/3/45026931.jpg?w=197&h=148&q=85&mode=1,Red,"$26,990"
2018 Audi A3,2018,"11,630 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/673/6/b062fbf6.jpg?w=197&h=148&q=85&mode=1,Red,"$27,590"
2018 Audi A4,2018,"16,305 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/331/659/7/36ad4882.jpg?w=197&h=148&q=85&mode=1,Red,"$27,990"
2018 Audi A4,2018,"15,942 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/070/4/18a0b298.jpg?w=197&h=148&q=85&mode=1,White,"$27,990"
2018 Audi A3 Sportback e-tron,2018,"15,762 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/721/7/a8755f6e.jpg?w=197&h=148&q=85&mode=1,Gray,
2018 Audi A3 Sportback e-tron,2018,"15,927 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/724/991/6/b5c28efd.jpg?w=197&h=148&q=85&mode=1,Gray,
2018 Audi Q5,2018,"42,549 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/580/0/d46c9e9a.jpg?w=197&h=148&q=85&mode=1,Silver,"$27,990"
